ID,ORDER_ID,PRODUCT_ID,SALES,QUANTITY,DISCOUNT,PROFIT,START_DATE,END_DATE,IS_CURRENT
0,CA-2016-152156,FUR-BO-10001798,261.9600,2,0.00,41.9136,2025-06-26,,true
1,CA-2016-152156,FUR-CH-10000454,731.9400,3,0.00,219.5820,2025-06-26,,true
2,CA-2016-138688,OFF-LA-10000240,14.6200,2,0.00,6.8714,2025-06-26,,true
3,US-2015-108966,FUR-TA-10000577,957.5775,5,0.45,-383.0310,2025-06-26,,true
4,US-2015-108966,OFF-ST-10000760,22.3680,2,0.20,2.5164,2025-06-26,,true
5,CA-2014-115812,FUR-FU-10001487,48.8600,7,0.00,14.1694,2025-06-26,,true
6,CA-2014-115812,OFF-AR-10002833,7.2800,4,0.00,1.9656,2025-06-26,,true
7,CA-2014-115812,TEC-PH-10002275,907.1520,6,0.20,90.7152,2025-06-26,,true
8,CA-2014-115812,OFF-BI-10003910,18.5040,3,0.20,5.7825,2025-06-26,,true
9,CA-2014-115812,OFF-AP-10002892,114.9000,5,0.00,34.4700,2025-06-26,,true
10,CA-2014-115812,FUR-TA-10001539,1706.1840,9,0.20,85.3092,2025-06-26,,true
11,CA-2014-115812,TEC-PH-10002033,911.4240,4,0.20,68.3568,2025-06-26,,true
12,CA-2017-114412,OFF-PA-10002365,15.5520,3,0.20,5.4432,2025-06-26,,true
13,CA-2016-161389,OFF-BI-10003656,407.9760,3,0.20,132.5922,2025-06-26,,true
14,US-2015-118983,OFF-AP-10002311,68.8100,5,0.80,-123.8580,2025-06-26,,true
15,US-2015-118983,OFF-BI-10000756,2.5440,3,0.80,-3.8160,2025-06-26,,true
16,CA-2014-105893,OFF-ST-10004186,665.8800,6,0.00,13.3176,2025-06-26,,true
17,CA-2014-167164,OFF-ST-10000107,55.5000,2,0.00,9.9900,2025-06-26,,true
18,CA-2014-143336,OFF-AR-10003056,8.5600,2,0.00,2.4824,2025-06-26,,true
19,CA-2014-143336,TEC-PH-10001949,213.4800,3,0.20,16.0110,2025-06-26,,true
20,CA-2014-143336,OFF-BI-10002215,22.7200,4,0.20,7.3840,2025-06-26,,true
21,CA-2016-137330,OFF-AR-10000246,19.4600,7,0.00,5.0596,2025-06-26,,true
22,CA-2016-137330,OFF-AP-10001492,60.3400,7,0.00,15.6884,2025-06-26,,true
23,US-2017-156909,FUR-CH-10002774,71.3720,2,0.30,-1.0196,2025-06-26,,true
24,CA-2015-106320,FUR-TA-10000577,1044.6300,3,0.00,240.2649,2025-06-26,,true
25,CA-2016-121755,OFF-BI-10001634,11.6480,2,0.20,4.2224,2025-06-26,,true
26,CA-2016-121755,TEC-AC-10003027,90.5700,3,0.00,11.7741,2025-06-26,,true
27,US-2015-150630,FUR-BO-10004834,3083.4300,7,0.50,-1665.0522,2025-06-26,,true
28,US-2015-150630,OFF-BI-10000474,9.6180,2,0.70,-7.0532,2025-06-26,,true
29,US-2015-150630,FUR-FU-10004848,124.2000,3,0.20,15.5250,2025-06-26,,true
30,US-2015-150630,OFF-EN-10001509,3.2640,2,0.20,1.1016,2025-06-26,,true
31,US-2015-150630,OFF-AR-10004042,86.3040,6,0.20,9.7092,2025-06-26,,true
32,US-2015-150630,OFF-BI-10001525,6.8580,6,0.70,-5.7150,2025-06-26,,true
33,US-2015-150630,OFF-AR-10001683,15.7600,2,0.20,3.5460,2025-06-26,,true
34,CA-2017-107727,OFF-PA-10000249,29.4720,3,0.20,9.9468,2025-06-26,,true
35,CA-2016-117590,TEC-PH-10004977,1097.5440,7,0.20,123.4737,2025-06-26,,true
36,CA-2016-117590,FUR-FU-10003664,190.9200,5,0.60,-147.9630,2025-06-26,,true
37,CA-2015-117415,OFF-EN-10002986,113.3280,9,0.20,35.4150,2025-06-26,,true
38,CA-2015-117415,FUR-BO-10002545,532.3992,3,0.32,-46.9764,2025-06-26,,true
39,CA-2015-117415,FUR-CH-10004218,212.0580,3,0.30,-15.1470,2025-06-26,,true
40,CA-2015-117415,TEC-PH-10000486,371.1680,4,0.20,41.7564,2025-06-26,,true
41,CA-2017-120999,TEC-PH-10004093,147.1680,4,0.20,16.5564,2025-06-26,,true
42,CA-2016-101343,OFF-ST-10003479,77.8800,2,0.00,3.8940,2025-06-26,,true
43,CA-2017-139619,OFF-ST-10003282,95.6160,2,0.20,9.5616,2025-06-26,,true
44,CA-2016-118255,TEC-AC-10000171,45.9800,2,0.00,19.7714,2025-06-26,,true
45,CA-2016-118255,OFF-BI-10003291,17.4600,2,0.00,8.2062,2025-06-26,,true
46,CA-2014-146703,OFF-ST-10001713,211.9600,4,0.00,8.4784,2025-06-26,,true
47,CA-2016-169194,TEC-AC-10002167,45.0000,3,0.00,4.9500,2025-06-26,,true
48,CA-2016-169194,TEC-PH-10003988,21.8000,2,0.00,6.1040,2025-06-26,,true
49,CA-2015-115742,OFF-BI-10004410,38.2200,6,0.00,17.9634,2025-06-26,,true
50,CA-2015-115742,OFF-LA-10002762,75.1800,6,0.00,35.3346,2025-06-26,,true
51,CA-2015-115742,FUR-FU-10001706,6.1600,2,0.00,2.9568,2025-06-26,,true
52,CA-2015-115742,FUR-CH-10003061,89.9900,1,0.00,17.0981,2025-06-26,,true
53,CA-2016-105816,OFF-FA-10000304,15.2600,7,0.00,6.2566,2025-06-26,,true
54,CA-2016-105816,TEC-PH-10002447,1029.9500,5,0.00,298.6855,2025-06-26,,true
55,CA-2016-111682,OFF-ST-10000604,208.5600,6,0.00,52.1400,2025-06-26,,true
56,CA-2016-111682,OFF-PA-10001569,32.4000,5,0.00,15.5520,2025-06-26,,true
57,CA-2016-111682,FUR-CH-10003968,319.4100,5,0.10,7.0980,2025-06-26,,true
58,CA-2016-111682,OFF-PA-10000587,14.5600,2,0.00,6.9888,2025-06-26,,true
59,CA-2016-111682,TEC-AC-10002167,30.0000,2,0.00,3.3000,2025-06-26,,true
60,CA-2016-111682,OFF-BI-10001460,48.4800,4,0.20,16.3620,2025-06-26,,true
61,CA-2016-111682,OFF-AR-10001868,1.6800,1,0.00,0.8400,2025-06-26,,true
62,CA-2015-135545,TEC-AC-10004633,13.9800,2,0.00,6.1512,2025-06-26,,true
63,CA-2015-135545,OFF-BI-10001078,25.8240,6,0.20,9.3612,2025-06-26,,true
64,CA-2015-135545,OFF-PA-10003892,146.7300,3,0.00,68.9631,2025-06-26,,true
65,CA-2015-135545,FUR-FU-10000397,79.7600,4,0.00,22.3328,2025-06-26,,true
66,US-2015-164175,FUR-CH-10001146,213.1150,5,0.30,-15.2225,2025-06-26,,true
67,CA-2014-106376,OFF-AR-10002671,1113.0240,8,0.20,111.3024,2025-06-26,,true
68,CA-2014-106376,TEC-PH-10002726,167.9680,4,0.20,62.9880,2025-06-26,,true
69,CA-2016-119823,OFF-PA-10000482,75.8800,2,0.00,35.6636,2025-06-26,,true
70,CA-2016-106075,OFF-BI-10004654,4.6160,1,0.20,1.7310,2025-06-26,,true
71,CA-2017-114440,OFF-PA-10004675,19.0500,3,0.00,8.7630,2025-06-26,,true
72,US-2015-134026,FUR-CH-10000513,831.9360,8,0.20,-114.3912,2025-06-26,,true
73,US-2015-134026,FUR-FU-10003708,97.0400,2,0.20,1.2130,2025-06-26,,true
74,US-2015-134026,OFF-ST-10004123,72.7840,1,0.20,-18.1960,2025-06-26,,true
75,US-2017-118038,OFF-BI-10004182,1.2480,3,0.80,-1.9344,2025-06-26,,true
76,US-2017-118038,FUR-FU-10000260,9.7080,3,0.60,-5.8248,2025-06-26,,true
77,US-2017-118038,OFF-ST-10000615,27.2400,3,0.20,2.7240,2025-06-26,,true
78,US-2014-147606,FUR-FU-10003194,19.3000,5,0.60,-14.4750,2025-06-26,,true
79,CA-2016-127208,OFF-AP-10002118,208.1600,1,0.00,56.2032,2025-06-26,,true
80,CA-2016-127208,OFF-BI-10002309,16.7400,3,0.00,8.0352,2025-06-26,,true
81,CA-2014-139451,OFF-AR-10002053,14.9000,5,0.00,4.1720,2025-06-26,,true
82,CA-2014-139451,OFF-ST-10002370,21.3900,1,0.00,6.2031,2025-06-26,,true
83,CA-2015-149734,OFF-EN-10000927,200.9840,7,0.20,62.8075,2025-06-26,,true
84,US-2017-119662,OFF-ST-10003656,230.3760,3,0.20,-48.9549,2025-06-26,,true
85,CA-2017-140088,FUR-CH-10000863,301.9600,2,0.00,33.2156,2025-06-26,,true
86,CA-2017-155558,TEC-AC-10001998,19.9900,1,0.00,6.7966,2025-06-26,,true
87,CA-2017-155558,OFF-LA-10000134,6.1600,2,0.00,2.9568,2025-06-26,,true
88,CA-2016-159695,OFF-ST-10003442,158.3680,7,0.20,13.8572,2025-06-26,,true
89,CA-2016-109806,OFF-AR-10004930,20.1000,3,0.00,6.6330,2025-06-26,,true
